CALLSIGN,TIME,LATITUDE,LONGITUDE,ALTITUDE,SPEED,TRACK,VERTICAL_RATE
STK3832, 1496327608103, 53.805356, -6.250413, 17000, 315.8, 25.9, 0
STK26GL, 1496327622849, 54.650093, -5.457625, 15000, 312.5, 50.5, 64
KLM29L, 1496327622833, 54.665874, -1.302629, 36000, 434.2, 314.8, -64
EZY905M, 1496327622770, 53.848251, -2.388271, 38000, 456.1, 338.4, 64
STK3832, 1496327622770, 53.826351, -6.233206, 17000, 315.8, 25.9, 0
STK26GL, 1496327636301, 54.659403, -5.438149, 15000, 312.5, 50.5, -64
KLM29L, 1496327636442, 54.685455, -1.334435, 36000, 434.2, 314.8, 0
EZY905M, 1496327636270, 53.87146, -2.403809, 38000, 455.7, 338.5, 0
STK3832, 1496327636270, 53.840332, -6.221636, 16975, 315.8, 25.9, -128
STK26GL, 1496327643900, 54.668062, -5.420172, 15000, 312.5, 50.5, 0
KLM29L, 1496327640994, 54.693512, -1.349299, 36000, 434.9, 314.7, 0
EZY905M, 1496327637306, 53.879517, -2.409145, 38025, 455.7, 338.5, 0
STK3832, 1496327643635, 53.853863, -6.210587, 16975, 315.8, 25.9, -64
STK26GL, 1496327658895, 54.681427, -5.39251, 15000, 313.8, 50.2, 0
KLM29L, 1496327656317, 54.713962, -1.386275, 35875, 433.5, 314.9, -1472
EZY905M, 1496327658832, 53.921539, -2.437238, 38025, 456.1, 338.4, 0
STK3832, 1496327656129, 53.869784, -6.19742, 17000, 315.8, 25.9, 64
STK26GL, 1496327683571, 54.705505, -5.342991, 15000, 312.3, 49.9, 0
KLM29L, 1496327679962, 54.747528, -1.44034, 34875, 435.2, 320.1, -2944
EZY905M, 1496327683525, 53.970337, -2.470308, 38000, 456.4, 338.3, -64
STK3832, 1496327683525, 53.905816, -6.167854, 17000, 314.9, 26.0, 0
STK26GL, 1496327679555, 54.705505, -5.342991, 15000, 312.3, 49.9, 0
KLM29L, 1496327679133, 54.747528, -1.44034, 34775, 435.2, 320.1, -2944
EZY905M, 1496327683086, 53.973404, -2.472395, 38000, 456.4, 338.3, 0
STK3832, 1496327683086, 53.910141, -6.164272, 17000, 314.9, 26.0, 0
STK26GL, 1496327697926, 54.718106, -5.317216, 15000, 312.2, 49.7, 0
KLM29L, 1496327697911, 54.77206, -1.473833, 34225, 436.1, 320.4, -2880
EZY905M, 1496327697973, 53.999176, -2.489737, 38025, 456.4, 338.3, 64
STK3832, 1496327695598, 53.92067, -6.155561, 17000, 314.4, 25.8, 64
STK26GL, 1496327701348, 54.720978, -5.311405, 15000, 312.2, 49.7, 0
KLM29L, 1496327701332, 54.778111, -1.482655, 34000, 436.1, 320.4, -3136
EZY905M, 1496327701301, 54.00206, -2.491699, 38025, 456.4, 338.3, 0
STK3832, 1496327701301, 53.927276, -6.150163, 17000, 314.4, 25.8, 64
STK26GL, 1496327708551, 54.730133, -5.292583, 15000, 312.3, 49.9, 0
KLM29L, 1496327707551, 54.790587, -1.500383, 33600, 436.2, 320.6, -2176
EZY905M, 1496327708535, 54.020874, -2.504412, 38025, 456.4, 338.3, -64
STK3832, 1496327708535, 53.941589, -6.138297, 17000, 313.5, 25.9, 0
STK26GL, 1496327714832, 54.732056, -5.288624, 15000, 312.3, 49.9, 0
KLM29L, 1496327714660, 54.800084, -1.5137, 33475, 435.6, 320.7, -2176
EZY905M, 1496327712660, 54.023034, -2.505852, 38025, 457.7, 338.2, -128
STK3832, 1496327713863, 53.944244, -6.1361, 17000, 313.5, 25.9, 0
STK26GL, 1496327722680, 54.742081, -5.267944, 15000, 311.5, 49.8, 0
KLM29L, 1496327722134, 54.809875, -1.529119, 33125, 432.8, 320.7, -2432
EZY905M, 1496327722102, 54.0439, -2.51995, 38000, 458.7, 338.2, 0
STK3832, 1496327722102, 53.955906, -6.126494, 17000, 314.4, 25.8, -64
STK26GL, 1496327730066, 54.748085, -5.25571, 15000, 311.5, 49.8, 0
KLM29L, 1496327730051, 54.824431, -1.548906, 32800, 431.4, 320.7, -2432
EZY905M, 1496327732582, 54.063217, -2.533055, 38025, 458.7, 338.2, 64
STK26GL, 1496327735071, 54.751465, -5.248799, 15000, 310.8, 49.7, 0
KLM29L, 1496327729352, 54.824431, -1.548906, 32575, 430.6, 320.7, -2304
EZY905M, 1496327735040, 54.071541, -2.53873, 38025, 457.7, 338.2, 64
STK3832, 1496327735040, 53.971687, -6.113488, 17000, 314.9, 26.0, 0
STK26GL, 1496327747399, 54.757302, -5.236983, 15000, 311.4, 49.6, -64
KLM29L, 1496327747399, 54.839886, -1.570546, 32500, 430.6, 320.7, -2304
EZY905M, 1496327741415, 54.071541, -2.53873, 38025, 457.7, 338.2, 64
STK3832, 1496327744149, 53.974503, -6.111145, 17000, 314.9, 26.0, 0
STK26GL, 1496327748019, 54.766753, -5.217757, 15000, 310.6, 49.4, 64
KLM29L, 1496327749754, 54.856476, -1.594633, 32075, 425.6, 320.6, -2240
EZY905M, 1496327749738, 54.099701, -2.557931, 38025, 458.1, 338.1, 64
STK3832, 1496327747691, 53.991565, -6.097008, 17000, 315.8, 25.9, -64
STK26GL, 1496327757535, 54.768847, -5.213595, 15000, 310.6, 49.4, 64
KLM29L, 1496327757535, 54.857902, -1.596596, 32000, 425.6, 320.6, -2240
EZY905M, 1496327757426, 54.103756, -2.560703, 38025, 458.1, 338.1, 64
STK26GL, 1496327766082, 54.782348, -5.186296, 16000, 311.4, 49.6, 0
KLM29L, 1496327766457, 54.881876, -1.631137, 31475, 422.2, 320.8, -2240
EZY905M, 1496327766441, 54.135544, -2.582415, 38025, 457.7, 338.2, 0
STK3832, 1496327759566, 54.007532, -6.08376, 17000, 315.8, 25.9, -64
STK26GL, 1496327771116, 54.786987, -5.176984, 15000, 311.4, 49.6, 64
KLM29L, 1496327771101, 54.888254, -1.639543, 31325, 419.3, 320.8, -2176
EZY905M, 1496327771085, 54.142685, -2.58728, 38050, 457.7, 338.2, 64
STK3832, 1496327771085, 54.019089, -6.074184, 17000, 315.8, 25.9, -64
STK26GL, 1496327790160, 54.808743, -5.143433, 14975, 312.3, 30.2, 0
KLM29L, 1496327788113, 54.913651, -1.675657, 30625, 416.5, 320.8, -2304
EZY905M, 1496327790144, 54.179489, -2.612392, 38025, 458.1, 338.1, 0
STK3832, 1496327788098, 54.042755, -6.054644, 17000, 315.8, 25.9, 0
STK26GL, 1496327794144, 54.812622, -5.140067, 15000, 312.2, 25.8, 192
KLM29L, 1496327794129, 54.922577, -1.68834, 30500, 415.8, 320.8, -2240
EZY905M, 1496327794066, 54.187038, -2.617573, 38025, 458.1, 338.1, 0
STK3832, 1496327788098, 54.042755, -6.054644, 17000, 315.8, 25.9, 0
STK26GL, 1496327811617, 54.8367, -5.123183, 15000, 310.2, 20.8, -64
KLM29L, 1496327811602, 54.947329, -1.723938, 29850, 412.2, 320.7, -2176
EZY905M, 1496327811586, 54.223434, -2.642447, 38025, 458.1, 338.1, 0
STK3832, 1496327811586, 54.07345, -6.029717, 17000, 314.9, 25.6, -64
STK26GL, 1496327816351, 54.846497, -5.116721, 15000, 310.2, 20.8, 0
EZY905M, 1496327816695, 54.240247, -2.653925, 38025, 457.7, 338.2, 0
STK3832, 1496327816273, 54.084762, -6.020508, 17000, 314.9, 25.6, -64
STK26GL, 1496327840211, 54.875499, -5.097074, 15000, 310.1, 21.8, 0
KLM29L, 1496327838601, 54.987922, -1.782532, 28850, 406.3, 320.4, -2176
EZY905M, 1496327838601, 54.274882, -2.677675, 38025, 458.1, 338.1, 0
STK3832, 1496327834324, 54.101578, -6.006696, 17000, 314.0, 25.7, -64
STK26GL, 1496327853085, 54.8936, -5.084408, 15000, 309.6, 22.0, 0
EZY905M, 1496327853054, 54.304535, -2.698142, 38025, 457.2, 338.0, 0
STK26GL, 1496327861488, 54.900604, -5.07948, 15000, 309.9, 22.2, 0
EZY209, 1496327861488, 53.556953, -2.056544, 33950, 437.1, 332.0, 64
EZY905M, 1496327861472, 54.315429, -2.705633, 38025, 456.8, 338.2, 0
STK3832, 1496327858644, 54.136994, -5.977774, 17000, 314.0, 25.7, 0
STK26GL, 1496327868774, 54.912321, -5.071106, 15000, 309.9, 22.2, 0
EZY209, 1496327868774, 53.571121, -2.069196, 34000, 437.1, 332.0, 64
KLM29L, 1496327868680, 55.029373, -1.842795, 27875, 401.8, 320.0, -2176
EZY905M, 1496327867118, 54.329956, -2.715643, 38000, 456.8, 338.2, 0
STK26GL, 1496327885149, 54.934108, -5.055708, 15000, 309.9, 22.2, 0
EZY209, 1496327885149, 53.597717, -2.092739, 34025, 437.5, 332.2, 0
EZY905M, 1496327885026, 54.361748, -2.737427, 38000, 456.8, 338.2, -64
STK26GL, 1496327889019, 54.940659, -5.051045, 15000, 309.9, 22.2, -64
EZY209, 1496327888862, 53.604204, -2.09855, 34025, 437.1, 332.0, 0
EZY905M, 1496327884894, 54.361748, -2.737427, 37975, 456.3, 338.0, -64
STK3832, 1496327888847, 54.172485, -5.948626, 17000, 314.0, 25.7, 0
STK26GL, 1496327897315, 54.946863, -5.04672, 16000, 309.9, 22.2, 0
EZY209, 1496327897315, 53.619519, -2.112202, 34025, 437.1, 332.0, 0
EZY905M, 1496327893628, 54.380997, -2.750783, 37900, 455.0, 338.1, -832
STK3832, 1496327897269, 54.182475, -5.940453, 17000, 314.0, 25.7, 0
STK26GL, 1496327894555, 54.95137, -5.043452, 15000, 309.9, 22.2, 0
EZY209, 1496327893523, 53.62045, -2.11301, 34025, 437.1, 332.0, 0
STK3832, 1496327894508, 54.187958, -5.935992, 17000, 314.0, 25.7, 0
STK26GL, 1496327903508, 54.963017, -5.035151, 15000, 311.2, 22.3, 0
EZY209, 1496327903774, 53.644285, -2.134337, 34025, 436.6, 331.9, 0
KLM29L, 1496327903774, 55.087451, -1.927518, 26475, 398.8, 319.9, -2112
EZY905M, 1496327903758, 54.409092, -2.770136, 37550, 454.6, 338.2, -2368
STK26GL, 1496327909805, 54.969727, -5.030365, 15000, 311.2, 22.3, -64
EZY209, 1496327910164, 53.654984, -2.14359, 34025, 436.9, 332.9, 0
KLM29L, 1496327910164, 55.094154, -1.935674, 26275, 396.1, 320.1, -2112
EZY905M, 1496327907321, 54.413235, -2.772966, 37300, 455.0, 338.1, -2880
STK26GL, 1496327920758, 54.980301, -5.022852, 15000, 310.9, 22.1, 0
EZY209, 1496327920758, 53.664047, -2.151045, 34025, 437.9, 334.1, 0
